Player,Team,League,SN,T,G,GS,CG,SHO,W,L,SV,SVO,IP,H,R,ER,HR,BB,SO,OAV,OBP,SLG,WHIP,ERA
"Clarkson, John",CHC,NL,1885,R,102,95,48,4,52,29,2,4,769,754,418,272,38,134,268,0.244,0.277,0.342,1.15,3.18
"Lynch, Jack",CHC,NL,1885,R,58,56,9,2,21,22,0,0,395.3,423,241,131,23,52,78,0.265,0.289,0.376,1.2,2.98
"White, Will",CHC,NL,1885,R,81,7,1,0,6,10,1,5,115.3,154,108,65,4,38,17,0.307,0.355,0.399,1.66,5.07
"Davis, Daisy",CHC,NL,1885,R,39,4,0,0,4,7,0,1,72,80,48,35,2,31,22,0.271,0.34,0.376,1.54,4.38
"Morris, Ed",DTN,NL,1885,L,63,63,45,2,26,35,0,0,515,570,329,183,11,109,104,0.268,0.304,0.339,1.32,3.2
"Shaw, Dupee",DTN,NL,1885,L,63,60,20,0,26,25,2,2,468,474,259,143,10,116,157,0.252,0.295,0.316,1.26,2.75
"Baldwin, Lady",DTN,NL,1885,L,45,39,7,0,26,10,1,2,313,304,142,88,6,65,163,0.244,0.284,0.322,1.18,2.53
"Casey, Dan",DTN,NL,1885,L,50,0,0,0,1,0,2,3,58.7,78,40,29,2,20,36,0.313,0.359,0.402,1.67,4.45
"Kennedy, Ted",DTN,NL,1885,L,18,0,0,0,0,0,1,1,31.7,50,38,22,5,9,9,0.34,0.375,0.503,1.86,6.25
"Daily, Ed",NYG,NL,1885,R,81,81,32,1,31,39,0,0,630.3,640,369,241,27,179,126,0.256,0.307,0.358,1.3,3.44
"Keefe, Tim",NYG,NL,1885,R,81,81,9,2,38,23,0,0,593.7,535,303,188,11,204,255,0.234,0.298,0.3,1.24,2.85
"Mountjoy, Bill",NYG,NL,1885,R,92,0,0,0,10,9,2,6,110.7,122,81,48,7,38,16,0.27,0.328,0.389,1.45,3.9
"Becannon, Buck",NYG,NL,1885,R,17,0,0,0,0,0,0,0,25.7,30,22,8,1,8,2,0.263,0.315,0.36,1.48,2.81
"Daily, Hugh",NYG,NL,1885,R,20,0,0,0,2,3,2,4,20.7,24,21,12,0,18,2,0.273,0.385,0.352,2.03,5.23
"Begley, Ed",NYG,NL,1885,R,8,0,0,0,0,3,0,0,8.7,11,5,5,0,11,0,0.324,0.478,0.353,2.54,5.19
"Harkins, John",PIT,NL,1885,R,54,54,5,1,14,28,0,0,341.3,428,242,177,12,93,67,0.304,0.347,0.416,1.53,4.67
"Conway, Pete",PIT,NL,1885,R,54,54,0,0,8,31,0,0,261.7,418,262,182,17,60,73,0.356,0.389,0.487,1.83,6.26
"Galvin, Pud",PIT,NL,1885,R,61,44,0,0,8,27,0,0,242,340,211,145,8,48,30,0.324,0.356,0.441,1.6,5.39
"Knouff, Ed",PIT,NL,1885,R,99,0,0,0,5,4,2,6,139,160,94,70,1,73,19,0.295,0.375,0.387,1.68,4.53
"Serad, Billy",PIT,NL,1885,R,64,0,0,0,4,2,0,0,135,192,124,88,6,41,41,0.328,0.368,0.457,1.73,5.87
"O'Day, Hank",PIT,NL,1885,R,49,0,0,0,1,15,25,35,52,62,49,39,2,20,7,0.283,0.343,0.416,1.58,6.75
"McCormick, Jim",PIT,NL,1885,R,10,10,2,0,4,5,0,0,71.7,61,25,21,0,13,21,0.228,0.262,0.257,1.03,2.64
"Caruthers, Bob",STL,AA,1885,R,81,81,62,10,54,20,0,0,695.3,611,284,179,6,106,107,0.225,0.261,0.28,1.03,2.32
"Getzien, Charlie",STL,AA,1885,R,81,73,2,1,26,26,3,5,476.7,527,320,200,10,144,81,0.275,0.33,0.357,1.41,3.78
"Ramsey, Toad",STL,AA,1885,L,60,8,2,1,14,5,18,22,142,85,44,29,1,49,53,0.167,0.246,0.203,0.94,1.84
"Mountain, Frank",STL,AA,1885,R,44,0,0,0,3,3,1,2,52.7,74,40,28,1,26,0,0.336,0.404,0.386,1.9,4.78
"Brown, Joe",STL,AA,1885,R,62,0,0,0,6,3,1,3,51,84,45,35,0,8,5,0.346,0.375,0.432,1.8,6.18
"Welch, Mickey",LOU,AA,1885,R,53,53,23,3,27,16,0,0,415.3,299,183,98,0,141,122,0.192,0.264,0.229,1.06,2.12
"Cushman, Ed",LOU,AA,1885,L,41,40,2,0,11,20,0,0,283.7,285,172,108,6,81,60,0.255,0.306,0.328,1.29,3.43
"Meegan, Pete",LOU,AA,1885,R,39,36,0,0,13,13,2,3,217,261,173,110,4,68,17,0.293,0.348,0.399,1.52,4.56
"Shallix, Gus",LOU,AA,1885,R,26,24,1,0,6,7,0,0,153.3,145,111,69,2,80,9,0.246,0.341,0.334,1.47,4.05
"Healy, John",LOU,AA,1885,R,78,0,0,0,10,6,4,11,101,72,50,33,0,45,26,0.19,0.279,0.246,1.16,2.94
"Porter, Henry",BLN,AA,1885,R,81,81,43,2,38,33,0,0,661.7,674,385,239,20,177,113,0.251,0.302,0.319,1.29,3.25
"Henderson, Hardie",BLN,AA,1885,R,81,81,38,3,32,43,0,0,624,769,432,308,11,150,117,0.295,0.338,0.372,1.47,4.44
"Connor, John",BLN,AA,1885,R,17,0,0,0,0,0,0,0,33.7,49,20,14,1,8,5,0.32,0.356,0.425,1.69,3.74
"McKeon, Larry",BLN,AA,1885,R,31,0,0,0,0,4,26,31,33,29,16,12,1,14,5,0.23,0.31,0.294,1.3,3.27
"Nolan, The Only",BLN,AA,1885,R,36,0,0,0,0,3,0,0,29.7,44,30,25,2,12,9,0.331,0.381,0.489,1.89,7.58
"Corcoran, Larry",BLN,AA,1885,R,9,0,0,0,0,1,0,0,7,8,4,3,0,3,1,0.286,0.355,0.321,1.57,3.86
"Mathews, Bobby",PAT,AA,1885,R,81,81,37,2,32,34,0,0,628.3,787,461,269,6,111,164,0.296,0.327,0.369,1.43,3.85
"Whitney, Jim",PAT,AA,1885,R,81,81,30,1,27,32,0,0,587,776,438,268,14,79,171,0.304,0.328,0.392,1.46,4.11
"Baker, Norm",PAT,AA,1885,R,88,0,0,0,9,14,10,18,151,172,125,63,4,60,25,0.268,0.332,0.343,1.54,3.75
"Hofford, John",PAT,AA,1885,R,27,0,0,0,2,2,0,1,46,62,40,31,4,21,18,0.316,0.379,0.439,1.8,6.07
"Lovett, Tom",BRO,AA,1885,R,42,42,0,0,8,17,0,0,236,258,157,109,4,75,32,0.278,0.337,0.354,1.41,4.16
"Mays, Al",BRO,AA,1885,R,39,39,0,0,11,18,0,0,228.3,262,152,105,7,100,27,0.282,0.356,0.355,1.59,4.14
"Wood, Pete",BRO,AA,1885,R,47,47,1,0,1,32,0,0,218,339,251,154,14,82,29,0.344,0.397,0.466,1.93,6.36
"Crothers, Doug",BRO,AA,1885,R,66,19,0,0,5,14,0,0,175.3,244,158,124,9,62,12,0.322,0.374,0.435,1.75,6.37
"McGinnis, Jumbo",BRO,AA,1885,R,93,0,0,0,7,6,3,7,162.3,152,86,44,1,27,22,0.239,0.276,0.303,1.1,2.44
"Emslie, Bob",BRO,AA,1885,R,56,15,0,0,3,12,2,3,137,231,163,114,0,61,13,0.364,0.421,0.46,2.13,7.49
"Pechiney, George",BRO,AA,1885,R,78,0,0,0,8,12,4,4,125.3,139,88,65,0,56,15,0.273,0.348,0.348,1.56,4.67
"McCormick, Jim",PAT,AA,1885,R,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.00,0.00
