Player,Team,League,SN,T,G,GS,CG,SHO,W,L,SV,SVO,IP,H,R,ER,HR,BB,SO,OAV,OBP,SLG,WHIP,ERA
"Hecker, Guy",BSN,NL,1885,R,83,82,32,2,38,22,0,0,625.3,701,409,263,13,97,134,0.269,0.298,0.352,1.28,3.79
"Sweeney, Charlie",BSN,NL,1885,R,81,80,0,0,25,23,0,0,415.7,447,288,198,1,111,102,0.264,0.309,0.338,1.34,4.29
"Kirby, John",BSN,NL,1885,R,82,0,0,0,10,5,12,16,137.3,145,81,55,0,50,46,0.257,0.32,0.34,1.42,3.6
"Henry, John",BSN,NL,1885,L,78,0,0,0,7,8,3,12,106.7,124,78,38,0,41,17,0.276,0.339,0.34,1.55,3.21
"Taylor, Billy",BSN,NL,1885,R,82,0,0,0,9,4,14,20,72.7,89,52,36,0,9,4,0.282,0.298,0.342,1.35,4.46
"Vinton, Bill",BSN,NL,1885,R,47,0,0,0,4,1,2,3,65.3,69,40,29,4,24,22,0.26,0.33,0.366,1.42,3.99
"Radbourn, Charley",CIN,AA,1885,R,81,81,49,3,44,24,0,0,651.3,660,362,230,5,115,105,0.254,0.286,0.318,1.19,3.18
"Boyle, Henry",CIN,AA,1885,R,80,80,46,0,44,26,0,0,634.3,632,388,212,4,190,123,0.249,0.302,0.308,1.3,3.01
"Wiedman, Stump",CIN,AA,1885,R,48,1,1,0,10,9,9,11,111,111,65,43,4,31,31,0.251,0.305,0.328,1.28,3.49
"Foreman, Frank",CIN,AA,1885,L,33,0,0,0,2,1,10,13,46.3,62,45,32,0,25,11,0.312,0.392,0.422,1.88,6.22
"Ferguson, Charlie",PHI,NL,1885,R,80,80,31,3,37,31,0,0,627.7,623,334,206,11,143,214,0.251,0.294,0.321,1.22,2.95
"Foutz, Dave",PHI,NL,1885,R,80,76,23,5,36,20,1,1,579,534,310,211,19,139,87,0.238,0.285,0.314,1.16,3.28
"Buffinton, Charlie",PHI,NL,1885,R,78,6,3,0,10,13,12,16,153.3,180,92,73,6,49,57,0.289,0.341,0.387,1.49,4.28
"Palmer, Unknown",PHI,NL,1885,R,20,0,0,0,2,2,0,1,22.3,28,18,10,0,9,6,0.292,0.352,0.417,1.66,4.03
