Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CS%,CERA,PB,PK
"Sunday, Billy",CHC,NL,1885,RF,5,0,5,0,2,0,0,0,0,1,3.6,0,0,0,0,0,0
"Knight, Lon",CHC,NL,1885,RF,3,0,5,0,1,0,0,0,0,1,1.8,0,0,0,0,0,0
"Gardner, Gid",CHC,NL,1885,RF,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gardner, Gid",CHC,NL,1885,CF,2,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sunday, Billy",CHC,NL,1885,CF,1,0,2.3,0,1,0,0,0,0,1,3.86,0,0,0,0,0,0
"Lewis, Fred",CHC,NL,1885,RF,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jones, Charley",CHC,NL,1885,LF,1,0,2,0,1,0,0,0,0,1,4.5,0,0,0,0,0,0
"Gardner, Gid",CHC,NL,1885,LF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelly, King",CHC,NL,1885,RF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orr, Dave",PHI,NL,1885,1B,162,162,"1,406.70",20,1660,120,27,0,4,0.989,11.39,0,0,0,0,0,0
"Mulvey, Joe",PHI,NL,1885,3B,162,162,"1,396.70",67,201,438,4,19,1,0.905,4.12,0,0,0,0,0,0
"Morrill, John",PHI,NL,1885,2B,161,161,"1,336.30",44,478,341,20,0,18,0.949,5.52,0,0,0,0,0,0
"Nelson, Candy",PHI,NL,1885,SS,146,144,"1,218.00",88,303,453,19,5,6,0.896,5.59,0,0,0,0,0,0
"Fogarty, Jim",PHI,NL,1885,CF,117,117,"1,002.30",14,311,2,0,16,0,0.957,2.81,0,0,0,0,0,0
"Ferguson, Charlie",PHI,NL,1885,P,80,0,627.7,5,18,44,0,8,0,0.925,0.89,239,109,31.32,0,0,1
"Thompson, Sam",PHI,NL,1885,RF,69,69,589.7,17,102,0,0,0,2,0.857,1.56,0,0,0,0,0,0
"Foutz, Dave",PHI,NL,1885,P,80,0,579,9,25,47,2,5,0,0.889,1.12,225,83,26.95,0,0,1
"McGuire, Deacon",PHI,NL,1885,C,78,66,557.3,20,154,121,1,0,0,0.932,4.44,191,98,33.91,2.99,13,0
"Flint, Silver",PHI,NL,1885,C,94,46,500,20,155,88,0,0,0,0.924,4.37,155,77,33.19,3.29,7,0
"Crowley, Bill",PHI,NL,1885,LF,58,49,441,12,110,0,0,2,0,0.902,2.24,0,0,0,0,0,0
"Thompson, Sam",PHI,NL,1885,LF,40,37,324.3,12,75,0,0,0,0,0.862,2.08,0,0,0,0,0,0
"Manning, Jim",PHI,NL,1885,RF,44,28,281.7,4,64,1,0,5,0,0.942,2.08,0,0,0,0,0,0
"Crowley, Bill",PHI,NL,1885,CF,29,28,230,9,58,0,0,0,1,0.866,2.27,0,0,0,0,0,0
"Dale, George (P)",PHI,NL,2026,SS,36,18,187.7,3,36,83,3,0,2,0.975,5.71,0,0,0,0,0,0
"Rua, Logan (P)",PHI,NL,2026,LF,22,19,163,7,48,0,0,0,1,0.873,2.65,0,0,0,0,0,0
"Buffinton, Charlie",PHI,NL,1885,P,78,0,153.3,0,10,6,0,2,0,1,0.94,72,30,29.41,0,0,0
"Fogarty, Jim",PHI,NL,1885,LF,18,13,128.7,1,38,0,0,2,0,0.974,2.66,0,0,0,0,0,0
"Thompson, Sam",PHI,NL,1885,CF,9,9,81.7,3,32,0,0,0,0,0.914,3.53,0,0,0,0,0,0
"Irwin, Arthur",PHI,NL,1885,SS,23,0,56.7,4,11,21,2,0,0,0.889,5.08,0,0,0,0,0,0
"Manning, Jim",PHI,NL,1885,CF,20,0,47.7,3,14,0,0,0,0,0.824,2.64,0,0,0,0,0,0
"Troy, Dasher",PHI,NL,1885,CF,15,0,29,1,8,0,0,0,0,0.889,2.48,0,0,0,0,0,0
"Manning, Jim",PHI,NL,1885,LF,12,1,28,2,5,0,0,0,0,0.714,1.61,0,0,0,0,0,0
"Irwin, Arthur",PHI,NL,1885,2B,14,0,25,1,7,9,2,0,0,0.941,5.76,0,0,0,0,0,0
"Morrill, John",PHI,NL,1885,1B,15,0,23,1,31,0,0,0,0,0.969,12.13,0,0,0,0,0,0
"Palmer, Billy",PHI,NL,1885,P,20,0,22.3,1,0,1,0,0,0,0.5,0.4,9,5,35.71,0,0,0
"Troy, Dasher",PHI,NL,1885,RF,10,0,20.7,2,4,0,0,0,1,0.667,1.74,0,0,0,0,0,0
"McCarthy, Tommy",PHI,NL,1885,CF,3,2,17,1,5,0,0,0,0,0.833,2.65,0,0,0,0,0,0
"Crane, Sam",PHI,NL,1885,2B,5,1,15.7,0,5,4,0,0,0,1,5.17,0,0,0,0,0,0
"Crowley, Bill",PHI,NL,1885,RF,4,1,15,1,3,0,0,0,0,0.75,1.8,0,0,0,0,0,0
"Whiteley, Gurdon",PHI,NL,1885,CF,4,0,8.7,0,6,0,0,0,1,1,6.23,0,0,0,0,0,0
"Fogarty, Jim",PHI,NL,1885,2B,4,0,7,0,0,4,0,0,0,1,5.14,0,0,0,0,0,0
"McCarthy, Tommy",PHI,NL,1885,LF,3,0,6.7,0,1,0,0,0,0,1,1.35,0,0,0,0,0,0
"Manning, Jim",PHI,NL,1885,SS,2,0,5.3,0,1,1,0,0,0,1,3.38,0,0,0,0,0,0
"Fogarty, Jim",PHI,NL,1885,3B,2,0,5,0,2,0,0,0,0,1,3.6,0,0,0,0,0,0
"Irwin, Arthur",PHI,NL,1885,3B,3,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Troy, Dasher",PHI,NL,1885,2B,2,0,3.7,0,2,0,0,0,1,1,4.91,0,0,0,0,0,0
"Kemmler, Rudy",PHI,NL,1885,C,2,0,3,0,1,0,0,0,0,1,3,0,0,0,3,0,0
"Fogarty, Jim",PHI,NL,1885,RF,1,0,2,0,1,0,0,0,0,1,4.5,0,0,0,0,0,0
"McCarthy, Tommy",PHI,NL,1885,RF,1,0,1.7,0,1,0,0,0,0,1,5.4,0,0,0,0,0,0
"Whiteley, Gurdon",PHI,NL,1885,C,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O'Rourke, Jim",BSN,NL,1885,C,162,162,"1,455.70",50,359,219,1,0,0,0.92,3.57,899,202,18.35,3.9,5,0
"Sutton, Ezra",BSN,NL,1885,3B,162,162,"1,395.70",62,189,454,4,3,8,0.912,4.15,0,0,0,0,0,0
"Andrews, Ed",BSN,NL,1885,RF,162,162,"1,386.70",30,290,2,1,18,0,0.907,1.9,0,0,0,0,0,0
"Smith, Pop",BSN,NL,1885,2B,162,162,"1,382.00",66,459,422,19,30,2,0.93,5.74,0,0,0,0,0,0
"Houck, Sadie",BSN,NL,1885,SS,157,154,"1,277.70",147,261,459,18,21,0,0.83,5.07,0,0,0,0,0,0
"Brouthers, Dan",BSN,NL,1885,1B,140,136,"1,233.00",14,1531,97,25,0,10,0.991,11.88,0,0,0,0,0,0
"Hotaling, Pete",BSN,NL,1885,LF,133,128,"1,108.00",29,264,1,0,7,0,0.901,2.15,0,0,0,0,0,0
"Hines, Paul",BSN,NL,1885,CF,115,111,963.3,37,309,3,0,19,0,0.894,2.91,0,0,0,0,0,0
"Hecker, Guy",BSN,NL,1885,P,83,0,625.3,6,23,47,0,1,0,0.921,1.01,390,85,17.89,0,0,0
"Sweeney, Charlie",BSN,NL,1885,P,81,0,415.7,8,21,36,0,4,0,0.877,1.23,325,72,18.14,0,0,3
"Hines, Paul",BSN,NL,1885,1B,21,21,179,7,245,15,1,1,0,0.974,13.07,0,0,0,0,0,0
"Geer, Billy",BSN,NL,1885,SS,56,8,175,6,57,66,4,2,0,0.953,6.33,0,0,0,0,0,0
"York, Tom",BSN,NL,1885,CF,24,14,139,2,45,0,0,0,3,0.957,2.91,0,0,0,0,0,0
"Kirby, John",BSN,NL,1885,P,80,0,137.3,0,6,9,0,0,2,1,0.98,69,15,17.86,0,0,1
"Henry, John",BSN,NL,1885,P,77,0,106.7,2,5,8,0,1,0,0.867,1.1,44,14,24.14,0,0,0
"Burdock, Jack",BSN,NL,1885,2B,36,0,73.7,3,30,22,4,0,4,0.945,6.35,0,0,0,0,0,0
"Taylor, Billy",BSN,NL,1885,P,77,0,72.7,1,4,4,0,0,1,0.889,0.99,28,6,17.65,0,0,0
"York, Tom",BSN,NL,1885,LF,28,2,66,1,23,0,0,0,0,0.958,3.14,0,0,0,0,0,0
"Vinton, Bill",BSN,NL,1885,P,47,0,65.3,0,1,3,0,0,0,1,0.55,26,5,16.13,0,0,0
"Nash, Billy",BSN,NL,1885,3B,28,0,60,3,4,21,2,0,0,0.893,3.75,0,0,0,0,0,0
"Poorman, Tom",BSN,NL,1885,RF,17,0,37,0,3,0,0,0,0,1,0.73,0,0,0,0,0,0
"York, Tom",BSN,NL,1885,RF,10,0,23,0,3,1,0,1,0,1,1.57,0,0,0,0,0,0
"Poorman, Tom",BSN,NL,1885,CF,8,0,20,1,4,0,0,0,1,0.8,1.8,0,0,0,0,0,0
"Hotaling, Pete",BSN,NL,1885,CF,5,0,10,0,2,0,0,0,0,1,1.8,0,0,0,0,0,0
"Hotaling, Pete",BSN,NL,1885,RF,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hines, Paul",BSN,NL,1885,LF,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hines, Paul",BSN,NL,1885,SS,2,0,3,1,2,1,0,0,0,0.75,9,0,0,0,0,0,0
