Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CERA,PB,PK
"Hines, Paul",BSN,NL,1886,RF,20,20,175.7,1,26,0,0,4,0,.963,1.33,0,0,0,0,0
"Smith, Pop",BSN,NL,1886,SS,19,19,167.7,5,37,70,11,2,0,.955,5.74,0,0,0,0,0
"O'Rourke, Jim",BSN,NL,1886,LF,11,11,98.0,1,34,0,0,2,0,.971,3.12,0,0,0,0,0
"O'Rourke, Jim",BSN,NL,1886,C,11,10,88.7,1,20,16,1,0,0,.973,3.65,5,8,4.4,0,0
"Force, Davy",BSN,NL,1886,2B,12,10,88.0,2,33,22,3,0,1,.965,5.63,0,0,0,0,0
"Hecker, Guy",BSN,NL,1886,P,11,0,82.0,0,3,3,0,0,0,1.000,.66,5,10,0,0,0
"Baldwin, Kid",BSN,NL,1886,C,9,9,80.0,3,20,7,0,0,0,.900,3.04,6,6,4.25,1,0
"Poorman, Tom",BSN,NL,1886,LF,8,8,69.7,2,17,0,0,0,0,.895,2.20,0,0,0,0,0
"Stemmeyer, Bill",BSN,NL,1886,P,10,0,57.3,2,2,5,1,0,0,.778,1.10,5,4,0,0,0
"Meister, John",BSN,NL,1886,2B,7,6,50.0,4,17,13,4,0,0,.882,5.40,0,0,0,0,0
"Foster, Elmer",BSN,NL,1886,2B,7,4,39.7,4,16,12,2,1,0,.875,6.35,0,0,0,0,0
"Kirby, John",BSN,NL,1886,P,17,0,27.3,0,3,4,1,0,0,1.000,2.30,4,2,0,0,0
"Force, Davy",BSN,NL,1886,SS,3,2,19.0,1,4,8,1,0,0,.923,5.68,0,0,0,0,0
"Smith, Pop",BSN,NL,1886,C,2,2,18.0,1,8,4,0,0,0,.923,6.00,3,4,7.5,1,0
"Sowders, Len",BSN,NL,1886,LF,2,2,16.0,0,3,0,0,0,0,1.000,1.69,0,0,0,0,0
"Poorman, Tom",BSN,NL,1886,RF,2,1,11.0,1,2,0,0,0,0,.667,1.64,0,0,0,0,0
"Hines, Paul",BSN,NL,1886,2B,1,1,9.0,0,1,0,0,0,0,1.000,1.00,0,0,0,0,0
"Keefe, George",BSN,NL,1886,P,6,0,5.7,0,1,0,0,0,0,1.000,1.59,0,0,0,0,0
"Sweeney, Charlie",BSN,NL,1886,P,5,0,4.3,0,0,0,0,0,0,.000,.00,0,1,0,0,0
"Hines, Paul",BSN,NL,1886,LF,1,0,2.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Henry, John",BSN,NL,1886,P,3,0,1.7,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Taylor, Billy",BSN,NL,1886,P,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Foster, Elmer",BSN,NL,1886,LF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Sowders, Len",BSN,NL,1886,3B,1,0,1.0,1,0,1,0,0,0,.500,9.00,0,0,0,0,0
"Hoover, Buster",BSN,NL,1886,CF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Pinkney, George",BRO,AA,1886,3B,21,21,185.0,5,30,73,0,0,3,.954,5.01,0,0,0,0,0
"Knowles, Jimmy",BRO,AA,1886,2B,21,21,182.0,9,74,56,5,1,0,.935,6.43,0,0,0,0,0
"Radford, Paul",BRO,AA,1886,CF,21,21,177.0,7,50,2,0,0,2,.881,2.64,0,0,0,0,0
"Gleason, Bill",BRO,AA,1886,SS,20,20,169.0,16,50,68,6,0,5,.881,6.28,0,0,0,0,0
"Swartwood, Ed",BRO,AA,1886,C,17,17,142.0,14,33,21,0,0,0,.794,3.42,51,17,6.9,3,0
"McTamany, Jim",BRO,AA,1886,RF,16,16,137.0,2,22,0,0,2,0,.917,1.45,0,0,0,0,0
"Forster, Tom",BRO,AA,1886,LF,15,15,124.0,3,32,0,0,1,0,.914,2.32,0,0,0,0,0
"Cook, Paul",BRO,AA,1886,1B,13,13,110.0,1,125,15,4,3,1,.993,11.45,0,0,0,0,0
"McGinnis, Jumbo",BRO,AA,1886,P,10,0,66.0,2,7,1,0,3,0,.800,1.09,16,7,0,0,0
"Mays, Al",BRO,AA,1886,P,10,0,61.7,0,2,4,0,0,2,1.000,.88,20,7,0,0,0
"Start, Joe",BRO,AA,1886,1B,8,4,44.0,0,46,8,3,1,0,1.000,11.05,0,0,0,0,0
"Clark, Bob",BRO,AA,1886,C,4,4,36.0,1,3,4,0,0,0,.875,1.75,5,2,7,1,0
"Swartwood, Ed",BRO,AA,1886,RF,4,4,36.0,1,8,0,0,0,0,.889,2.00,0,0,0,0,0
"Pechiney, George",BRO,AA,1886,P,15,0,31.7,0,0,1,0,0,1,1.000,.28,14,3,0,0,0
"McTamany, Jim",BRO,AA,1886,LF,3,3,27.0,0,12,0,0,1,0,1.000,4.00,0,0,0,0,0
"Keenan, Jim",BRO,AA,1886,LF,3,3,25.0,1,7,1,0,0,0,.889,2.88,0,0,0,0,0
"Bassett, Charley",BRO,AA,1886,SS,4,1,16.0,1,3,10,2,0,0,.929,7.31,0,0,0,0,0
"Keenan, Jim",BRO,AA,1886,RF,1,1,9.0,1,1,0,0,0,0,.500,1.00,0,0,0,0,0
