Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CERA,PB,PK
"Fennelly, Frank",PAT,AA,1886,SS,21,21,183.3,24,46,72,12,4,0,.831,5.79,0,0,0,0,0
"Coleman, John",PAT,AA,1886,RF,21,21,181.3,5,28,1,0,0,0,.853,1.44,0,0,0,0,0
"Larkin, Henry",PAT,AA,1886,CF,20,20,172.3,6,50,0,0,0,0,.893,2.61,0,0,0,0,0
"O'Brien, Jack",PAT,AA,1886,C,17,17,143.3,9,33,27,0,0,0,.870,3.77,20,16,2.99,0,1
"Gleason, Jack",PAT,AA,1886,3B,15,15,122.0,8,20,40,2,1,0,.882,4.43,0,0,0,0,0
"Baker, Phil",PAT,AA,1886,1B,10,10,89.3,0,106,9,10,0,1,1.000,11.59,0,0,0,0,0
"Stovey, Harry",PAT,AA,1886,LF,10,10,89.3,7,22,0,0,1,0,.759,2.22,0,0,0,0,0
"Stovey, Harry",PAT,AA,1886,1B,10,10,88.0,0,102,15,5,0,0,1.000,11.97,0,0,0,0,0
"Reipschlager, Charlie",PAT,AA,1886,LF,8,8,67.0,1,15,0,0,0,4,.938,2.01,0,0,0,0,0
"Whitney, Jim",PAT,AA,1886,P,8,0,62.3,1,1,4,1,0,0,.833,.72,7,8,0,0,0
"Gladman, Buck",PAT,AA,1886,3B,8,6,53.0,2,14,19,0,0,0,.943,5.60,0,0,0,0,0
"McCormick, Jim",PAT,AA,1886,P,8,0,46.0,0,0,3,0,0,0,1.000,.59,5,4,0,0,0
"Miller, Cyclone",PAT,AA,1886,P,5,0,34.7,1,1,2,0,0,0,.750,.78,5,5,0,0,1
"Hart, Bill",PAT,AA,1886,P,12,0,29.3,0,1,2,0,0,0,1.000,.92,3,1,0,0,0
"Reipschlager, Charlie",PAT,AA,1886,C,6,2,25.0,3,3,3,0,0,0,.667,2.16,1,1,2.4,0,0
"Hardie, Lou",PAT,AA,1886,C,2,2,18.0,1,9,2,0,0,0,.917,5.50,4,2,7,0,0
"Purcell, Blondie",PAT,AA,1886,LF,2,2,17.0,2,5,0,0,0,0,.714,2.65,0,0,0,0,0
"Powell, Abner",PAT,AA,1886,CF,4,1,14.0,0,5,0,0,0,0,1.000,3.21,0,0,0,0,0
"Hofford, John",PAT,AA,1886,P,7,0,11.3,1,0,1,0,0,0,.500,.79,3,1,0,0,0
"O'Brien, Jack",PAT,AA,1886,1B,1,1,9.0,0,8,0,0,0,0,1.000,8.00,0,0,0,0,0
"Larkin, Henry",PAT,AA,1886,LF,1,1,8.0,1,2,0,0,0,0,.667,2.25,0,0,0,0,0
"Lyons, Denny",PAT,AA,1886,3B,5,0,6.3,0,1,0,0,0,0,1.000,1.42,0,0,0,0,0
"Powell, Abner",PAT,AA,1886,LF,3,0,5.0,0,1,0,0,0,0,1.000,1.80,0,0,0,0,0
"O'Brien, Jack",PAT,AA,1886,3B,3,0,5.0,0,2,1,0,0,0,1.000,5.40,0,0,0,0,0
"Larkin, Henry",PAT,AA,1886,RF,2,0,4.0,0,2,0,0,2,0,1.000,4.50,0,0,0,0,0
"Powell, Abner",PAT,AA,1886,SS,1,0,3.0,0,2,2,0,0,0,1.000,12.00,0,0,0,0,0
"Mathews, Bobby",PAT,AA,1886,P,2,0,2.7,0,0,1,0,0,0,1.000,3.38,1,0,0,0,0
"Purcell, Blondie",PAT,AA,1886,RF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Orr, Dave",PHI,NL,1886,1B,21,21,185.0,1,221,15,10,0,0,.996,11.48,0,0,0,0,0
"Mulvey, Joe",PHI,NL,1886,3B,21,21,185.0,7,29,53,1,0,1,.921,3.99,0,0,0,0,0
"Morrill, John",PHI,NL,1886,SS,21,21,180.0,9,47,67,7,0,3,.927,5.70,0,0,0,0,0
"Dunlap, Fred",PHI,NL,1886,2B,21,21,167.0,5,50,52,8,1,1,.953,5.50,0,0,0,0,0
"Fulmer, Chris",PHI,NL,1886,C,15,13,103.0,3,40,14,1,0,0,.947,4.72,9,5,2.68,0,0
"Thompson, Sam",PHI,NL,1886,LF,14,11,98.0,2,20,0,0,2,0,.909,1.84,0,0,0,0,0
"Ferguson, Charlie",PHI,NL,1886,P,11,0,83.3,0,3,6,0,1,0,1.000,.97,8,4,0,0,0
"Thompson, Sam",PHI,NL,1886,CF,10,10,80.0,2,24,0,0,0,0,.923,2.70,0,0,0,0,0
"Fogarty, Jim",PHI,NL,1886,CF,9,9,74.0,0,20,0,0,0,0,1.000,2.43,0,0,0,0,0
"Foutz, Dave",PHI,NL,1886,P,10,0,73.7,1,6,7,1,1,0,.929,1.59,5,2,0,0,0
"Buffinton, Charlie",PHI,NL,1886,RF,10,8,69.0,2,8,0,0,0,1,.800,1.04,0,0,0,0,0
"Fogarty, Jim",PHI,NL,1886,RF,6,6,54.0,0,11,0,0,1,0,1.000,1.83,0,0,0,0,0
"Cahill, John",PHI,NL,1886,LF,6,6,47.0,1,9,0,0,0,0,.900,1.72,0,0,0,0,0
"Greer, Ed",PHI,NL,1886,C,9,4,44.0,3,14,2,0,0,0,.842,3.27,7,2,1.5,1,0
"Nelson, Candy",PHI,NL,1886,LF,3,3,23.0,0,9,0,0,0,0,1.000,3.52,0,0,0,0,0
"Greer, Ed",PHI,NL,1886,CF,3,1,13.0,0,2,0,0,0,0,1.000,1.38,0,0,0,0,0
"Handiboe, Jim",PHI,NL,1886,P,8,0,12.3,0,1,1,0,0,0,1.000,1.46,3,1,0,0,0
"Manning, Jim",PHI,NL,1886,CF,3,1,10.0,1,4,0,0,0,0,.800,3.60,0,0,0,0,0
"Fulmer, Chris",PHI,NL,1886,RF,1,1,9.0,0,2,0,0,0,0,1.000,2.00,0,0,0,0,0
"Manning, Jim",PHI,NL,1886,LF,4,0,7.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Sylvester, Lou",PHI,NL,1886,RF,1,1,7.0,1,3,0,0,0,0,.750,3.86,0,0,0,0,0
"Buffinton, Charlie",PHI,NL,1886,LF,1,1,7.0,0,1,0,0,0,0,1.000,1.29,0,0,0,0,0
"Nelson, Candy",PHI,NL,1886,SS,3,0,7.0,0,1,2,1,0,0,1.000,3.86,0,0,0,0,0
"Cahill, John",PHI,NL,1886,RF,1,1,6.0,0,1,0,0,0,0,1.000,1.50,0,0,0,0,0
"Sylvester, Lou",PHI,NL,1886,LF,2,0,6.0,0,1,0,0,0,0,1.000,1.50,0,0,0,0,0
"Manning, Jim",PHI,NL,1886,RF,2,0,4.0,0,2,0,0,0,0,1.000,4.50,0,0,0,0,0
"Thompson, Sam",PHI,NL,1886,RF,2,0,4.0,0,1,0,0,0,0,1.000,2.25,0,0,0,0,0
"Cahill, John",PHI,NL,1886,3B,1,0,3.0,0,0,1,0,0,0,1.000,3.00,0,0,0,0,0
"Atkinson, Al",PHI,NL,1886,P,3,0,2.3,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Greer, Ed",PHI,NL,1886,RF,1,0,2.0,0,1,0,0,0,0,1.000,4.50,0,0,0,0,0
"Flint, Silver",PHI,NL,1886,C,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,36,0,0
"Manning, Jim",PHI,NL,1886,SS,1,0,1.0,0,0,1,0,0,0,1.000,9.00,0,0,0,0,0
"Titcomb, Cannonball",PHI,NL,1886,P,1,0,0.3,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Bierbauer, Lou",PIT,NL,1886,2B,21,21,175.0,8,64,51,8,0,0,.935,5.91,0,0,0,0,0
"Irwin, Arthur",PIT,NL,1886,SS,21,21,174.0,8,44,67,8,2,0,.933,5.74,0,0,0,0,0
"Farrar, Sid",PIT,NL,1886,1B,20,19,165.0,2,194,26,9,1,0,.991,12.00,0,0,0,0,0
"Carroll, Fred",PIT,NL,1886,C,17,15,132.0,2,38,18,0,0,0,.966,3.82,19,15,3.83,2,0
"Corkhill, Pop",PIT,NL,1886,CF,16,16,125.0,1,37,0,0,0,1,.974,2.66,0,0,0,0,0
"Seery, Emmett",PIT,NL,1886,RF,14,14,111.0,5,18,0,0,1,0,.783,1.46,0,0,0,0,0
"Schomberg, Otto",PIT,NL,1886,LF,8,8,68.0,0,16,1,0,1,0,1.000,2.25,0,0,0,0,0
"Davis, Jumbo",PIT,NL,1886,3B,13,6,62.0,4,10,25,1,0,0,.897,5.08,0,0,0,0,0
"Seery, Emmett",PIT,NL,1886,LF,7,7,61.0,2,14,1,0,0,0,.882,2.21,0,0,0,0,0
"Galvin, Pud",PIT,NL,1886,P,10,0,59.7,0,2,3,0,0,0,1.000,.75,6,5,0,0,1
"Miller, Doggie",PIT,NL,1886,LF,6,6,51.0,2,14,0,0,0,0,.875,2.47,0,0,0,0,0
"Conway, Pete",PIT,NL,1886,P,10,0,47.7,1,3,4,0,1,0,.875,1.32,6,7,0,0,0
"Clements, Jack",PIT,NL,1886,C,6,6,46.0,0,10,4,0,0,0,1.000,2.74,0,0,0,0,0
"Corkhill, Pop",PIT,NL,1886,RF,5,5,43.0,2,12,1,0,0,0,.867,2.72,0,0,0,0,0
"Kuehne, Bill",PIT,NL,1886,CF,7,3,34.0,4,13,1,0,0,0,.778,3.71,0,0,0,0,0
"Kuehne, Bill",PIT,NL,1886,3B,3,2,17.0,0,1,4,0,0,0,1.000,2.65,0,0,0,0,0
"Schomberg, Otto",PIT,NL,1886,1B,3,2,17.0,0,20,1,0,0,0,1.000,11.12,0,0,0,0,0
"Madigan, Tony",PIT,NL,1886,P,10,0,16.3,0,1,1,0,0,0,1.000,1.10,4,2,0,0,0
"Miller, Doggie",PIT,NL,1886,RF,2,2,16.0,0,4,0,0,0,0,1.000,2.25,0,0,0,0,0
"Smith, Elmer",PIT,NL,1886,P,10,0,14.7,0,3,0,0,0,0,1.000,1.84,2,1,0,0,0
"Murphy, Joe",PIT,NL,1886,P,7,0,13.0,0,0,0,0,0,0,.000,.00,1,0,0,0,0
"O'Day, Hank",PIT,NL,1886,P,9,0,9.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"King, Silver",PIT,NL,1886,P,8,0,7.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Richardson, Danny",PIT,NL,1886,SS,3,0,6.0,2,1,1,0,0,0,.500,3.00,0,0,0,0,0
"Miller, Doggie",PIT,NL,1886,2B,2,0,4.0,0,2,4,0,0,0,1.000,13.50,0,0,0,0,0
"Richardson, Danny",PIT,NL,1886,CF,2,0,3.0,0,0,0,0,0,1,.000,.00,0,0,0,0,0
"Miller, Doggie",PIT,NL,1886,C,2,0,3.0,0,1,0,0,0,0,1.000,3.00,0,0,0,0,0
"Kuehne, Bill",PIT,NL,1886,RF,2,0,3.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Kuehne, Bill",PIT,NL,1886,LF,1,0,2.0,0,0,0,0,1,0,.000,.00,0,0,0,0,0
"Richardson, Danny",PIT,NL,1886,2B,2,0,2.0,0,1,0,0,0,0,1.000,4.50,0,0,0,0,0
"McGuire, Deacon",PIT,NL,1886,C,1,0,1.0,0,2,0,0,0,0,1.000,18.00,0,0,0,0,0
"Wolf, Chicken",STL,AA,1886,RF,20,20,181.0,1,34,3,0,0,0,.974,1.84,0,0,0,0,0
"White, Deacon",STL,AA,1886,3B,21,21,178.0,13,24,71,2,0,2,.880,4.80,0,0,0,0,0
"Gore, George",STL,AA,1886,CF,20,20,175.0,13,60,1,0,0,0,.824,3.14,0,0,0,0,0
"Connor, Roger",STL,AA,1886,1B,21,21,172.0,0,195,19,8,0,0,1.000,11.20,0,0,0,0,0
"Sutton, Ezra",STL,AA,1886,LF,18,18,163.0,6,44,0,0,2,0,.880,2.43,0,0,0,0,0
"Bushong, Doc",STL,AA,1886,C,17,17,145.0,4,32,21,0,0,0,.930,3.29,26,13,3.21,1,0
"Robinson, Yank",STL,AA,1886,2B,15,15,128.0,3,54,35,5,0,0,.967,6.26,0,0,0,0,0
"Smith, Germany",STL,AA,1886,SS,14,13,120.0,13,27,45,7,0,0,.847,5.40,0,0,0,0,0
"Ramsey, Toad",STL,AA,1886,P,10,0,77.0,1,0,5,0,0,5,.833,.58,14,10,0,0,0
"Caruthers, Bob",STL,AA,1886,P,9,0,65.7,1,2,5,0,0,0,.875,.96,14,6,0,0,0
"Barkley, Sam",STL,AA,1886,2B,8,5,52.0,3,23,18,2,0,0,.932,7.10,0,0,0,0,0
"Robinson, Yank",STL,AA,1886,SS,5,5,42.0,10,13,9,1,0,0,.688,4.71,0,0,0,0,0
"Peoples, Jimmy",STL,AA,1886,C,5,4,31.0,2,10,9,0,0,0,.905,5.52,5,7,1.88,0,0
"Hudson, Nat",STL,AA,1886,P,12,0,27.3,0,1,1,0,0,0,1.000,.66,1,2,0,0,0
"Sutton, Ezra",STL,AA,1886,SS,3,3,27.0,0,7,9,1,0,1,1.000,5.33,0,0,0,0,0
"Barkley, Sam",STL,AA,1886,LF,3,3,27.0,0,6,0,0,0,0,1.000,2.00,0,0,0,0,0
"Mountain, Frank",STL,AA,1886,1B,7,0,15.0,0,16,1,3,0,0,1.000,10.20,0,0,0,0,0
"Robinson, Wilbert",STL,AA,1886,C,7,0,14.0,0,5,1,0,0,0,1.000,3.86,0,1,7.5,0,0
"Robinson, Wilbert",STL,AA,1886,CF,2,1,12.0,1,2,0,0,0,0,.667,1.50,0,0,0,0,0
"Getzien, Charlie",STL,AA,1886,P,11,0,9.7,0,0,1,0,0,0,1.000,.93,1,0,0,0,0
"Barkley, Sam",STL,AA,1886,RF,1,1,9.0,0,1,0,0,0,0,1.000,1.00,0,0,0,0,0
"Muldoon, Mike",STL,AA,1886,2B,2,1,9.0,1,4,3,1,0,0,.875,7.00,0,0,0,0,0
"Robinson, Yank",STL,AA,1886,3B,3,0,6.0,0,3,3,0,0,0,1.000,9.00,0,0,0,0,0
"Sullivan, Tom",STL,AA,1886,P,5,0,5.0,0,0,0,0,0,0,.000,.00,1,3,0,0,0
"Farrell, Joe",STL,AA,1886,3B,3,0,4.0,0,1,1,0,0,0,1.000,4.50,0,0,0,0,0
"Comiskey, Charlie",STL,AA,1886,CF,3,0,3.0,0,2,0,0,0,0,1.000,6.00,0,0,0,0,0
"Muldoon, Mike",STL,AA,1886,3B,2,0,2.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Farrell, Joe",STL,AA,1886,2B,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Peoples, Jimmy",STL,AA,1886,SS,1,0,1.0,0,2,0,0,0,0,1.000,18.00,0,0,0,0,0
"Robinson, Wilbert",STL,AA,1886,1B,1,0,1.0,0,0,1,0,0,0,1.000,9.00,0,0,0,0,0
"Barkley, Sam",STL,AA,1886,1B,1,0,1.0,0,1,0,0,0,0,1.000,9.00,0,0,0,0,0
"Comiskey, Charlie",STL,AA,1886,1B,1,0,1.0,0,1,0,0,0,0,1.000,9.00,0,0,0,0,0
