FranchiseID,Owner
BLN,JAMESA
BRO,eman7400
CIN,crazyjoe02
LOU,BullMoose
PAT,bingo_long
STL,RedMustard
BSN,firesalt
CHC,szczubelek
CLV,gbakker
NYG,epup1975
PHI,danidon
PIT,ZeeBall
